crime_name,2010,2011,2012,2013,2014,avg
Acid attack,,,,,0.0,0.0
Agrarian riots,,,,,0.0,0.0
Arson,,1.0,1.0,1.1,0.9,1.0
Assault on women with intent to outrage her modesty,,18.9,21.4,51.1,53.0,36.1
Attempt to acid attack,,,,,0.0,0.0
Attempt to commit culpable homicide not amounting to murder,,,,,0.4,0.4
Attempt to commit murder,,8.8,10.5,8.7,7.4,8.8
Attempt to commit rape,,,,,0.2,0.2
Auto theft,,139.2,140.7,108.6,111.3,124.9
Burglary,,61.5,55.4,58.9,48.6,56.1
Caste conflict riots,,,,,0.0,0.0
Causing death by negligence,,12.3,12.0,11.2,11.4,11.7
Causing injuries under rash driving/road rage,,,,,126.0,126.0
Cheating,,11.7,11.3,8.5,11.0,10.6
Communal riots,,,,,0.0,0.0
Counterfeit currency & bank notes total,,,,,0.0,0.0
Counterfeiting,,0.2,0.1,0.1,0.0,0.1
Counterfeiting currency - notes or bank notes,,,,,0.0,0.0
Counterfeiting government stamp,,,,,0.0,0.0
Criminal breach of trust,,3.1,2.9,3.1,4.6,3.4
Criminal trespass/burglary,,,,,43.6,43.6
Cruelty by husband or his relatives,,25.9,29.2,68.6,68.6,48.1
Culpable homicide not amounting to murder,,1.6,1.5,0.7,1.1,1.2
Custodial rape,,0.0,0.0,0.0,0.0,0.0
Dacoity,,0.6,0.3,0.3,0.5,0.4
Dacoity with murder,,,,,0.0,0.0
Deaths due to other causes,,,,,0.0,0.0
Deaths due to rash/negligent driving,,,,,11.4,11.4
Disclosure of identity of victims,,,,,0.0,0.0
Dowry deaths,,4.3,4.9,4.5,5.5,4.8
Extortion,,,,,2.2,2.2
Forgery,,,,,0.3,0.3
Gang rape,,,,,0.0,0.0
Gang rape other than custodial,,,,,1.9,1.9
Grievous hurt,,,,,3.3,3.3
House trespass & house breaking,,,,,5.1,5.1
Human trafficking,,,,,0.1,0.1
Hurt,,64.1,42.4,38.3,3.3,37.0
Importation of girls from foreign country,,0.0,0.0,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,,0.0,0.0
Industrial riots,,,,,0.0,0.0
Insult to modesty of women at office premises,,,,,0.0,0.0
Insult to modesty of women at other places,,,,,3.7,3.7
Insult to modesty of women in other places related to work,,,,,0.0,0.0
Insult to modesty of women in public transport system,,,,,0.0,0.0
Insult to the modesty of women,,2.5,2.1,8.8,3.7,4.3
Kidnapping,,,,,6.2,6.2
Kidnapping & abduction,,6.4,5.7,5.0,17.2,8.6
Kidnapping & abduction in order to murder,,,,,0.1,0.1
Kidnapping & abduction of others,,0.5,,1.0,,0.8
Kidnapping & abduction of women and girls,,12.7,10.9,8.6,,10.7
Kidnapping & abduction of women to compel her for marriage,,,,,5.8,5.8
Kidnapping for ransom,,,,,0.2,0.2
Kidnapping of others,,,0.6,,,0.6
Making or possessing materials for forged currency/bank notes,,,,,0.0,0.0
Making or using documents resembling currency notes/bank notes,,,,,0.0,0.0
Making preparation and assembly for committing dacoity,,,,,3.1,3.1
Murder,,6.1,4.6,5.3,3.7,4.9
Offences against state,,,,,0.0,0.0
Offences promoting enmity between different groups,,,,,0.1,0.1
Offences related to counterfeit coin,,,,,0.0,0.0
Other IPC crimes,,307.6,305.2,342.1,377.2,333.0
Other cases of assault on women to outrage her modesty,,,,,36.6,36.6
Other caste conflict riots,,,,,0.0,0.0
Other kidnapping & abduction,,,,,8.0,8.0
Other rape,,9.4,11.7,22.8,0.16666666666666666,11.0
Other rape other than custodial,,,,,18.7,18.7
Other theft,,35.8,39.4,31.0,35.9,35.5
Political riots,,,,,0.0,0.0
Possession of forged or counterfeiting currency/bank notes,,,,,0.0,0.0
Preparation & assembly for dacoity,,0.6,1.3,5.8,,2.6
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,,0.1,0.1
Rape,,9.4,11.7,22.8,20.7,16.1
Rape other than custodial,,,,,20.7,20.7
Riots,,6.1,5.4,4.7,6.2,5.6
Riots others,,,,,6.2,6.2
Robbery,,14.1,14.1,9.7,6.7,11.2
SCs/STs vs Non-SCs/STs riots,,,,,0.0,0.0
Sectarian riots,,,,,0.0,0.0
Sedition,,,,,0.0,0.0
Sexual harassment,,,,,9.2,9.2
Sexual harassment and molestation of women,,21.4,23.6,59.8,56.7,40.4
Stalking,,,,,5.3,5.3
Student riots,,,,,0.0,0.0
Theft,,175.0,180.1,139.7,147.2,160.5
Total cognizable crimes under IPC,,709.3,686.1,715.6,850.2,740.3
Unlawful assembly,,,,,0.0,0.0
Unnatural offences,,,,,0.5,0.5
Use of criminal force with intent to disrobe women,,,,,1.9,1.9
"Using as genuine, forged or counterfeiting currency/bank notes",,,,,0.0,0.0
Voyeurism,,,,,0.0,0.0
